time_s,VM,VLEAK,VREF
0.937243398,0.992779666,0.99277969,0.993377468
0.937253398,0.992779666,0.99277969,0.993377468
0.937263398,0.992779666,0.99277969,0.993377468
0.937273398,0.992779666,0.99277969,0.993377468
0.937283398,0.992779666,0.99277969,0.993377468
0.937293398,0.992779666,0.99277969,0.993377468
0.937303398,0.992779666,0.99277969,0.993377468
0.937313398,0.992779666,0.99277969,0.993377468
0.937323398,0.992779666,0.99277969,0.993377468
0.937333398,0.992779666,0.99277969,0.993377468
0.937343398,0.992779666,0.99277969,0.993377468
0.937353398,0.992779666,0.99277969,0.993377468
0.937363398,0.992779666,0.99277969,0.993377468
0.937373398,0.992779666,0.99277969,0.993377468
0.937383398,0.992779666,0.99277969,0.993377468
0.937393398,0.992779666,0.99277969,0.993377468
0.937403398,0.992779666,0.99277969,0.993377468
0.937413398,0.992779666,0.99277969,0.993377468
0.937423398,0.992779666,0.99277969,0.993377468
0.937433398,0.992779666,0.99277969,0.993377468
0.937443398,0.992779666,0.99277969,0.993377468
0.937453398,0.992779666,0.99277969,0.993377468
0.937463398,0.992779666,0.99277969,0.993377468
0.937473398,0.992779666,0.99277969,0.993377468
0.937483398,0.992779666,0.99277969,0.993377468
0.937493398,0.992779666,0.99277969,0.993377468
0.937503398,0.992779666,0.99277969,0.993377468
0.937513398,0.992779666,0.99277969,0.993377468
0.937523398,0.992779666,0.99277969,0.993377468
0.937533398,0.992779666,0.99277969,0.993377468
0.937543398,0.992779666,0.99277969,0.993377468
0.937553398,0.992779666,0.99277969,0.993377468
0.937563398,0.992779666,0.99277969,0.993377468
0.937573398,0.992779666,0.99277969,0.993377468
0.937583398,0.992779666,0.99277969,0.993377468
0.937593398,0.992779666,0.99277969,0.993377468
0.937603398,0.992779666,0.99277969,0.993377468
0.937613398,0.992779666,0.99277969,0.993377468
0.937623398,0.992779666,0.99277969,0.993377468
0.937633398,0.992779666,0.99277969,0.993377468
0.937643398,0.992779666,0.99277969,0.993377468
0.937653398,0.992779666,0.99277969,0.993377468
0.937663398,0.992779666,0.99277969,0.993377468
0.937673398,0.992779666,0.99277969,0.993377468
0.937683398,0.992779666,0.99277969,0.993377468
0.937693398,0.992779666,0.99277969,0.993377468
0.937703398,0.992779666,0.99277969,0.993377468
0.937713398,0.992779666,0.99277969,0.993377468
0.937723398,0.992779666,0.99277969,0.993377468
0.937733398,0.992779666,0.99277969,0.993377468
0.937743398,0.992779666,0.99277969,0.993377468
0.937753398,0.992779666,0.99277969,0.993377468
0.937763398,0.992779666,0.99277969,0.993377468
0.937773398,0.992779666,0.99277969,0.993377468
0.937783398,0.992779666,0.99277969,0.993377468
0.937793398,0.992779666,0.99277969,0.993377468
0.937803398,0.992779666,0.99277969,0.993377468
0.937813398,0.992779666,0.99277969,0.993377468
0.937823398,0.992779666,0.99277969,0.993377468
0.937833398,0.992779666,0.99277969,0.993377468
0.937843398,0.992779666,0.99277969,0.993377468
0.937853398,0.992779666,0.99277969,0.993377468
0.937863398,0.992779666,0.99277969,0.993377468
0.937873398,0.992779666,0.99277969,0.993377468
0.937883398,0.992779666,0.99277969,0.993377468
0.937893398,0.992779666,0.99277969,0.993377468
0.937903398,0.992779666,0.99277969,0.993377468
0.937913398,0.992779666,0.99277969,0.993377468
0.937923398,0.992779666,0.99277969,0.993377468
0.937933398,0.992779666,0.99277969,0.993377468
0.937943398,0.992779666,0.99277969,0.993377468
0.937953398,0.992779666,0.99277969,0.993377468
0.937963398,0.992779666,0.99277969,0.993377468
0.937973398,0.992779666,0.99277969,0.993377468
0.937983398,0.992779666,0.99277969,0.993377468
0.937993398,0.992779666,0.99277969,0.993377468
0.938003398,0.992779666,0.99277969,0.993377468
0.938013398,0.992779666,0.99277969,0.993377468
0.938023398,0.992779666,0.99277969,0.993377468
0.938033398,0.992779666,0.99277969,0.993377468
0.938043398,0.992779666,0.99277969,0.993377468
0.938053398,0.992779666,0.99277969,0.993377468
0.938063398,0.992779666,0.99277969,0.993377468
0.938073398,0.992779666,0.99277969,0.993377468
0.938083398,0.992779666,0.99277969,0.993377468
0.938093398,0.992779666,0.99277969,0.993377468
0.938103398,0.992779666,0.99277969,0.993377468
0.938113398,0.992779666,0.99277969,0.993377468
0.938123398,0.992779666,0.99277969,0.993377468
0.938133398,0.992779666,0.99277969,0.993377468
0.938143398,0.992779666,0.99277969,0.993377468
0.938153398,0.992779666,0.99277969,0.993377468
0.938163398,0.992779666,0.99277969,0.993377468
0.938173398,0.992779666,0.99277969,0.993377468
0.938183398,0.992779666,0.99277969,0.993377468
0.938193398,0.992779666,0.99277969,0.993377468
0.938203398,0.992779666,0.99277969,0.993377468
0.938213398,0.992779666,0.99277969,0.993377468
0.938223398,0.992779666,0.99277969,0.993377468
0.938233398,0.992779666,0.99277969,0.993377468
0.938243398,0.992779666,0.99277969,0.993377468
0.938253398,0.992779666,0.99277969,0.993377468
0.938263398,0.992779666,0.99277969,0.993377468
0.938273398,0.992779666,0.99277969,0.993377468
0.938283398,0.992779666,0.99277969,0.993377468
0.938293398,0.992779666,0.99277969,0.993377468
0.938303398,0.992779666,0.99277969,0.993377468
0.938313398,0.992779666,0.99277969,0.993377468
0.938323398,0.992779666,0.99277969,0.993377468
0.938333398,0.992779666,0.99277969,0.993377468
0.938343398,0.992779666,0.99277969,0.993377468
0.938353398,0.992779666,0.99277969,0.993377468
