 8.47690308e-07 -4.66327435e-06  8.47690308e-07 -4.55413706e-05  8.47690308e-07 -8.95059920e-08  8.47690308e-07 -1.99809364e-02  8.47690308e-07 -4.27220001e-04  8.47690308e-07 -2.78747963e-07  8.47690308e-07 -1.77112265e-09 
 9.22845154e-07 -4.95388020e-06  9.22845154e-07 -4.93026490e-05  9.22845154e-07 -8.24354309e-08  9.22845154e-07 -1.99813049e-02  9.22845154e-07 -4.49563729e-04  9.22845154e-07 -3.04141930e-07  9.22845154e-07 -1.88152091e-09 
 9.98000000e-07 -5.23100152e-06  9.98000000e-07 -5.30386182e-05  9.98000000e-07 -7.56691829e-08  9.98000000e-07 -1.99816393e-02  9.98000000e-07 -4.70612109e-04  9.98000000e-07 -3.28788543e-07  9.98000000e-07 -1.98679868e-09 
 9.98050000e-07 -5.23118140e-06  9.98050000e-07 -5.30410953e-05  9.98050000e-07 -7.56647847e-08  9.98050000e-07 -1.99816395e-02  9.98050000e-07 -4.70625681e-04  9.98050000e-07 -3.28804693e-07  9.98050000e-07 -1.98686701e-09 
 9.98150000e-07 -5.23154113e-06  9.98150000e-07 -5.30460494e-05  9.98150000e-07 -7.56559864e-08  9.98150000e-07 -1.99816400e-02  9.98150000e-07 -4.70652824e-04  9.98150000e-07 -3.28836988e-07  9.98150000e-07 -1.98700368e-09 
 9.98325000e-07 -5.23217060e-06  9.98325000e-07 -5.30547191e-05  9.98325000e-07 -7.56405871e-08  9.98325000e-07 -1.99816407e-02  9.98325000e-07 -4.70700318e-04  9.98325000e-07 -3.28893502e-07  9.98325000e-07 -1.98724283e-09 
 9.98500000e-07 -5.23279999e-06  9.98500000e-07 -5.30633886e-05  9.98500000e-07 -7.56251897e-08  9.98500000e-07 -1.99816414e-02  9.98500000e-07 -4.70747807e-04  9.98500000e-07 -3.28950011e-07  9.98500000e-07 -1.98748193e-09 
 9.98535000e-07 -5.23292586e-06  9.98535000e-07 -5.30651225e-05  9.98535000e-07 -7.56221095e-08  9.98535000e-07 -1.99816416e-02  9.98535000e-07 -4.70757304e-04  9.98535000e-07 -3.28961312e-07  9.98535000e-07 -1.98752974e-09 
 9.98605000e-07 -5.23317759e-06  9.98605000e-07 -5.30685902e-05  9.98605000e-07 -7.56159508e-08  9.98605000e-07 -1.99816419e-02  9.98605000e-07 -4.70776297e-04  9.98605000e-07 -3.28983915e-07  9.98605000e-07 -1.98762536e-09 
 9.98745000e-07 -5.23368100e-06  9.98745000e-07 -5.30755257e-05  9.98745000e-07 -7.56036371e-08  9.98745000e-07 -1.99816425e-02  9.98745000e-07 -4.70814280e-04  9.98745000e-07 -3.29029116e-07  9.98745000e-07 -1.98781661e-09 
 9.99025000e-07 -5.23468768e-06  9.99025000e-07 -5.30893963e-05  9.99025000e-07 -7.55790150e-08  9.99025000e-07 -1.99816436e-02  9.99025000e-07 -4.70890234e-04  9.99025000e-07 -3.29119511e-07  9.99025000e-07 -1.98819906e-09 
 9.99500000e-07 -5.23639496e-06  9.99500000e-07 -5.31129260e-05  9.99500000e-07 -7.55372547e-08  9.99500000e-07 -1.99816456e-02  9.99500000e-07 -4.71019048e-04  9.99500000e-07 -3.29272833e-07  9.99500000e-07 -1.98884766e-09 
 9.99550000e-07 -5.23657463e-06  9.99550000e-07 -5.31154028e-05  9.99550000e-07 -7.55328617e-08  9.99550000e-07 -1.99816459e-02  9.99550000e-07 -4.71032604e-04  9.99550000e-07 -3.29288971e-07  9.99550000e-07 -1.98891592e-09 
 9.99650000e-07 -5.23693397e-06  9.99650000e-07 -5.31203563e-05  9.99650000e-07 -7.55240741e-08  9.99650000e-07 -1.99816463e-02  9.99650000e-07 -4.71059716e-04  9.99650000e-07 -3.29321244e-07  9.99650000e-07 -1.98905244e-09 
 9.99825000e-07 -5.23756274e-06  9.99825000e-07 -5.31290247e-05  9.99825000e-07 -7.55086944e-08  9.99825000e-07 -1.99816470e-02  9.99825000e-07 -4.71107156e-04  9.99825000e-07 -3.29377719e-07  9.99825000e-07 -1.98929132e-09 
 1.00000000e-06 -5.23819144e-06  1.00000000e-06 -5.31376931e-05  1.00000000e-06 -7.54933165e-08  1.00000000e-06 -1.99816478e-02  1.00000000e-06 -4.71154591e-04  1.00000000e-06 -3.29434190e-07  1.00000000e-06 -1.98953015e-09 
 1.00003500e-06 -5.23831717e-06  1.00003500e-06 -5.31394267e-05  1.00003500e-06 -7.54902398e-08  1.00003500e-06 -1.99816479e-02  1.00003500e-06 -4.71164076e-04  1.00003500e-06 -3.29445483e-07  1.00003500e-06 -1.98957792e-09 
 1.00010500e-06 -5.23856861e-06  1.00010500e-06 -5.31428940e-05  1.00010500e-06 -7.54840883e-08  1.00010500e-06 -1.99816482e-02  1.00010500e-06 -4.71183048e-04  1.00010500e-06 -3.29468070e-07  1.00010500e-06 -1.98967343e-09 
 1.00024500e-06 -5.23907147e-06  1.00024500e-06 -5.31498285e-05  1.00024500e-06 -7.54717906e-08  1.00024500e-06 -1.99816488e-02  1.00024500e-06 -4.71220987e-04  1.00024500e-06 -3.29513241e-07  1.00024500e-06 -1.98986444e-09 
