time_s,VDD,V_Boost,VREF_2V048,VREF_1V024,Vm_Int,AP,Spike_Out
1.11727299e-06,-5.64119006e-06,-5.89161121e-05,-6.57047448e-08,-0.0199821099,-0.000501576923,-3.6620739e-07,-2.14263071e-09
1.11872078e-06,-5.64577414e-06,-5.89870701e-05,-6.55904699e-08,-0.0199821141,-0.000501936089,-3.64515452e-07,-2.14438117e-09
1.11932013e-06,-5.64787279e-06,-5.90164425e-05,-6.55432135e-08,-0.0199821163,-0.000502084671,-3.64479547e-07,-2.14515628e-09
1.12010736e-06,-5.65046613e-06,-5.90550189e-05,-6.54811831e-08,-0.0199821192,-0.000502279723,-3.64703768e-07,-2.14615456e-09
1.12101117e-06,-5.65341533e-06,-5.90993062e-05,-6.54100276e-08,-0.0199821225,-0.000502503518,-3.65000815e-07,-2.14727771e-09
1.12197982e-06,-5.65658313e-06,-5.91467656e-05,-6.53338361e-08,-0.0199821261,-0.000502743205,-3.6530735e-07,-2.1484792e-09
1.12391712e-06,-5.66291615e-06,-5.92416729e-05,-6.51816698e-08,-0.0199821332,-0.000503222066,-3.6591153e-07,-2.15088448e-09
1.12779172e-06,-5.67555534e-06,-5.94314378e-05,-6.48782184e-08,-0.0199821473,-0.000504177745,-3.67117385e-07,-2.15568629e-09
1.13554093e-06,-5.70072638e-06,-5.98107699e-05,-6.42748095e-08,-0.0199821755,-0.000506080968,-3.69520615e-07,-2.16524886e-09
1.15103935e-06,-5.75063767e-06,-6.05686437e-05,-6.30819805e-08,-0.0199822311,-0.000509855203,-3.7429123e-07,-2.18421027e-09
1.18203617e-06,-5.84869565e-06,-6.20812358e-05,-6.07521269e-08,-0.0199823398,-0.000517277341,-3.83689539e-07,-2.22146294e-09
1.24402983e-06,-6.03747742e-06,-6.50938494e-05,-5.63129348e-08,-0.0199825468,-0.000531635126,-4.01916066e-07,-2.29318277e-09
1.36801714e-06,-6.38511726e-06,-7.1069196e-05,-4.82794853e-08,-0.0199829225,-0.000558538771,-4.36085981e-07,-2.42525604e-09
1.54806787e-06,-6.81852403e-06,-7.96294727e-05,-3.84391896e-08,-0.019983384,-0.000593728338,-4.80263885e-07,-2.58991764e-09
1.74482545e-06,-7.19454409e-06,-8.88281076e-05,-2.98291791e-08,-0.019983781,-0.000627532518,-5.2111616e-07,-2.73278368e-09
1.87141272e-06,-7.38215165e-06,-9.46612101e-05,-2.53235992e-08,-0.0199839788,-0.000646956977,-5.43270785e-07,-2.80406872e-09
1.998e-06,-7.52690646e-06,-0.000100428752,-2.1498602e-08,-0.0199841326,-0.000664758784,-5.62164516e-07,-2.85907602e-09
1.99805e-06,-7.52695516e-06,-0.000100431017,-2.14972253e-08,-0.0199841326,-0.000664765495,-5.62171333e-07,-2.85909453e-09
1.99815e-06,-7.52705256e-06,-0.000100435547,-2.14944738e-08,-0.0199841327,-0.000664778916,-5.62184967e-07,-2.85913154e-09
1.998325e-06,-7.52722294e-06,-0.000100443475,-2.14896581e-08,-0.0199841329,-0.000664802401,-5.62208824e-07,-2.85919628e-09
1.9985e-06,-7.52739324e-06,-0.000100451403,-2.14848423e-08,-0.0199841331,-0.000664825882,-5.62232674e-07,-2.85926101e-09
1.998535e-06,-7.52742729e-06,-0.000100452988,-2.14838796e-08,-0.0199841331,-0.000664830578,-5.62237443e-07,-2.85927395e-09
1.998605e-06,-7.52749538e-06,-0.000100456159,-2.1481954e-08,-0.0199841332,-0.00066483997,-5.62246981e-07,-2.85929988e-09
1.998745e-06,-7.52763152e-06,-0.000100462501,-2.14781029e-08,-0.0199841333,-0.000664858752,-5.62266053e-07,-2.8593516e-09
1.999025e-06,-7.52790364e-06,-0.000100475185,-2.14704059e-08,-0.0199841336,-0.000664896311,-5.62304188e-07,-2.859455e-09
1.9995e-06,-7.5283648e-06,-0.000100496702,-2.14573497e-08,-0.0199841341,-0.000664960011,-5.62368843e-07,-2.85963023e-09
1.99955e-06,-7.5284133e-06,-0.000100498966,-2.14559748e-08,-0.0199841342,-0.000664966715,-5.62375646e-07,-2.85964867e-09
1.99965e-06,-7.52851029e-06,-0.000100503496,-2.14532285e-08,-0.0199841343,-0.000664980123,-5.62389249e-07,-2.85968553e-09
1.999825e-06,-7.52867997e-06,-0.000100511423,-2.14484217e-08,-0.0199841345,-0.000665003583,-5.62413052e-07,-2.85975003e-09
2e-06,-7.52884956e-06,-0.00010051935,-2.14436167e-08,-0.0199841346,-0.000665027042,-5.62436849e-07,-2.85981448e-09
